label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,error,timing_error
reference,,,,4096,4096,4096,float16,cuda,mean,False,1.8851840496063232,218399744,0.006606275923871655,0.004833280634976397,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,4096,4096,4096,float16,cuda,mean,False,19.965951919555664,520475136,0.004509482955292969,0.00021274869335039846,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,4096,4096,4096,float16,cuda,mean,False,20.400127410888672,419795968,0.004509482961180327,0.0002647184060411515,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,4096,4096,4096,float16,cuda,mean,False,20.86400032043457,386233344,0.004509482955767213,0.00034620931975177697,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,4096,4096,4096,float16,cuda,mean,False,2.9951999187469482,352702976,0.008014124874616318,0.004845744679189455,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,4096,4096,4096,float16,cuda,mean,False,3.3505280017852783,285577728,0.008013754957194797,0.004848264236622385,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,4096,4096,4096,float16,cuda,mean,False,4.459519863128662,252015104,0.008014124874616318,0.004853387248155428,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,4096,4096,4096,float16,cuda,mean,False,3.328000068664551,285594112,0.008014124874616318,0.004849500347804122,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,4096,4096,4096,float16,cuda,mean,False,3.34335994720459,218468864,0.008013754957194797,0.004852052474142645,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,4096,4096,4096,float16,cuda,mean,False,4.168704032897949,218399744,0.008014124874616318,0.004857156660111904,,
auto_fp32,auto,aspect_ratio:2,float32,4096,4096,4096,float16,cuda,mean,False,3.427328109741211,218468864,0.008013754957194797,0.0048520541133426215,,
liger,,,,4096,4096,4096,float16,cuda,mean,False,2.4352641105651855,285528064,0.006606510682810128,0.004834484620661486,,
