label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,error,timing_error
reference,,,,65536,4096,4096,bfloat16,cuda,mean,False,27.651071548461914,2735473664,0.0017249465243015314,0.0023882309490243846,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,65536,4096,4096,bfloat16,cuda,mean,False,259.86456298828125,5052105216,0.0016616097572301448,0.0016607030886981761,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,65536,4096,4096,bfloat16,cuda,mean,False,255.08352661132812,3441230336,0.0016616097572301448,0.002031733532172323,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,65536,4096,4096,bfloat16,cuda,mean,False,256.4382629394531,2904228352,0.0016616097572301448,0.0026222470528878008,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,65536,4096,4096,bfloat16,cuda,mean,False,152.08755493164062,4448256512,0.0016621590305991626,0.0016607030887050623,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,65536,4096,4096,bfloat16,cuda,mean,False,147.03411865234375,2837316096,0.0016621590305991626,0.0020317333130396567,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,65536,4096,4096,bfloat16,cuda,mean,False,147.83078002929688,2031845888,0.0016621590305991626,0.002622247051431731,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,65536,4096,4096,bfloat16,cuda,mean,False,45.13894271850586,4381147648,0.0016621590305991626,0.005198846120491017,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,65536,4096,4096,bfloat16,cuda,mean,False,44.91059112548828,2770207232,0.0016621590305991626,0.005573020084548472,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,65536,4096,4096,bfloat16,cuda,mean,False,45.23417663574219,1964737024,0.0016621590305991626,0.0055679514630901815,,
auto_fp32,auto,aspect_ratio:2,float32,65536,4096,4096,bfloat16,cuda,mean,False,44.98124694824219,2770207232,0.0016621590305991626,0.0055725105424330144,,
liger,,,,65536,4096,4096,bfloat16,cuda,mean,False,27.752544403076172,2232483840,0.0017030909493520908,0.002372527344832353,,
